watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
3,1,6,0.998,12532.435748312568,1.5236036952200358
3,1,6,0.995,4590.0355730505335,1.4568204351345497
2,1,6,0.998,1492.5269188594616,1.3855879434895928
5,1,4,0.998,1255.2860651515662,1.3749258074483206
3,2,6,0.998,1057.2739708670624,1.3644332388246907
3,1,5,0.998,1016.6018388572937,1.362046836633563
3,1,3,0.998,1006.7483364831187,1.3614549722456566
3,1,8,0.998,921.4653763846621,1.356087894228951
2,1,6,0.995,608.8155951888319,1.3312381772877167
5,1,4,0.995,597.9938507741933,1.3301731671681614
3,2,6,0.995,434.5888332256976,1.3113615414984143
3,1,8,0.995,404.4887297661334,1.3071680002047674
3,1,5,0.995,401.670996048073,1.3067602954024486
4,2,4,0.998,388.364168749715,1.3047972053417511
5,2,4,0.998,348.7379041575564,1.2985458165177564
4,1,4,0.998,293.59382079501586,1.2886100376853018
4,1,5,0.998,263.2739694330678,1.282357275443738
3,2,3,0.998,258.57024367659034,1.2813260614895439
4,2,4,0.995,192.69349292143542,1.2646216770308414
3,1,3,0.995,188.69994344945638,1.263440374958534
3,1,7,0.998,186.6446558876879,1.262823074024616
3,1,4,0.998,177.28935667142753,1.2599285539230174
5,2,4,0.995,168.029082526306,1.256915992312785
4,2,5,0.998,163.90941898413274,1.2555244587287144
3,2,5,0.998,146.28524800117253,1.2491672389296578
4,1,6,0.998,141.04171804487564,1.2471341141075882
4,2,6,0.998,135.10541170331572,1.2447433277512312
4,1,4,0.995,124.87841098796147,1.2403787228249004
3,2,8,0.998,117.60330570668158,1.2370608098426736
4,1,5,0.995,111.78788935922712,1.2342644156413625
2,2,6,0.998,106.0209987283342,1.2313505854840932
3,2,4,0.998,98.79541398654153,1.2274781163465238
4,2,8,0.998,90.69667104697085,1.2228020792682934
4,2,5,0.995,85.09571460972464,1.2193287230556407
2,1,8,0.998,84.21202874902652,1.2187608565937784
4,1,2,0.998,80.64000627399771,1.2164058726055138
3,1,7,0.995,76.9417788023294,1.2138602584747187
5,1,7,0.998,76.31421183375053,1.2134167152837294
5,1,6,0.998,75.81351345523215,1.2130603321789741
3,1,4,0.995,71.75898362981196,1.2100886946458012
5,2,3,0.998,71.59863966840973,1.2099679051797332
2,1,4,0.998,71.0503874347636,1.2095529371504725
5,1,5,0.998,70.70120905239143,1.2092870490222385
5,2,6,0.998,66.71762040981459,1.206161552384729
5,2,7,0.998,66.52496718234173,1.2060059154998255
4,2,8,0.995,57.08762071546056,1.1978004641865887
5,1,7,0.995,55.06585704750175,1.1958747077639618
3,2,5,0.995,54.582177789472894,1.1954039893819117
2,1,2,0.998,53.92733339645838,1.1947603021970352
4,2,6,0.995,53.87895891467398,1.194712456171333
5,2,8,0.998,49.999341765383924,1.1907349847120277
3,2,8,0.995,49.96477560899586,1.190698238132419
2,2,4,0.998,49.27950789873577,1.189964685795014
3,2,3,0.995,48.58851012389312,1.189215064606435
3,1,2,0.998,47.878250510777406,1.188433856886267
5,2,7,0.995,47.32394101471342,1.1878164464062457
2,1,8,0.995,46.92449615203868,1.1873672316450157
4,1,6,0.995,46.12772699368881,1.1864601695181018
4,1,7,0.998,45.26573073160271,1.1854618373337016
2,2,6,0.995,45.158831607406405,1.1853367670493022
3,2,7,0.998,44.79592347010172,1.1849100499508909
4,1,8,0.998,41.354945635382535,1.1806914728796618
5,2,6,0.995,38.31164229153839,1.176670992970901
3,2,4,0.995,37.766419239631944,1.175918608357151
5,2,5,0.998,36.14954951380407,1.1736247800308175
5,1,6,0.995,36.118594874623945,1.1735799156813187
5,1,3,0.998,34.99581671023463,1.1719272665381621
2,2,8,0.998,34.27388037860091,1.1708376553416615
4,1,8,0.995,33.471003649943455,1.1695998246529276
4,2,7,0.998,31.40929873871738,1.1662863564148185
5,2,8,0.995,31.1026413139682,1.1657758447682365
3,2,7,0.995,30.116574644114873,1.164101054149455
5,1,5,0.995,27.8498592287969,1.1600433896115723
2,2,3,0.998,24.69753251948389,1.15384164137518
5,2,3,0.995,22.024963486401116,1.14795976789095
4,1,7,0.995,20.326608642905747,1.1438563786951463
5,2,5,0.995,18.446815576401978,1.1389138459171986
2,1,4,0.995,18.401040794182798,1.1387875810237271
2,2,8,0.995,18.390171895063542,1.1387575562321723
4,1,2,0.995,17.75006854896968,1.1369587099900855
4,2,2,0.998,16.771457070703928,1.1340850623642502
2,1,5,0.998,16.438796860858318,1.1330716265804504
4,2,7,0.995,15.449831638625929,1.1299387572346091
2,2,4,0.995,15.44218689617907,1.1299138016225054
4,2,3,0.998,14.22773843537493,1.1257913199134444
5,1,3,0.995,13.108253037508277,1.1216817901484744
2,2,5,0.998,12.476069453388394,1.1192103504131243
5,1,8,0.998,10.382138359138626,1.1100718779394796
2,1,3,0.998,9.202220519442706,1.1041117876159778
4,1,3,0.998,9.12744688081608,1.1037098747902312
3,1,2,0.995,7.041072614677143,1.091001380091895
5,1,2,0.998,6.911674932318643,1.09009871566963
5,1,8,0.995,6.538141046817023,1.0873993951022234
2,1,2,0.995,6.1772083600565955,1.0846473529847276
2,2,3,0.995,5.3899869406478995,1.0780691014981063
2,2,7,0.998,4.998410693821165,1.0744467459723992
4,2,3,0.995,4.549278248158735,1.0699419903237724
2,2,5,0.995,4.258353016255196,1.066791328190606
4,2,2,0.995,3.8683297464640924,1.062228212196995
2,1,7,0.998,3.6502627837386687,1.059481378375591
2,2,2,0.998,3.5257287686029644,1.0578415128979788
3,2,2,0.998,3.457982213750196,1.0569260331724621
4,1,3,0.995,3.4279897371273194,1.0565152510370712
2,1,5,0.995,3.323847895470243,1.0550617474679251
2,2,7,0.995,1.9645439025768505,1.030591612325647
5,2,2,0.998,1.643700843600619,1.0224237828213023
5,1,2,0.995,1.533744163355246,1.019269658870623
2,1,3,0.995,1.4840137902662853,1.017771534372272
2,1,7,0.995,0.9643842284158317,0.998382986361479
3,2,2,0.995,0.6809228764204642,0.9829968125697696
5,2,2,0.995,0.40962460276757184,0.9609548723102648
2,2,2,0.995,0.39584999020654377,0.9594891793419739
